feature,family,coef,abs_coef,direction,mean_abs_shap,mean_signed_shap,mean_coef_cv,std_coef_cv,sign_consistency_cv
jitterLocal_sma3nz_stddevNorm,Jitter,-0.20341951205959888,0.20341951205959888,HC,0.16562940054110814,-5.037827080918947e-18,-0.16972319402641997,0.060874393507276095,1.0
slopeV500-1500_sma3nz_stddevNorm,Spectral Balance,-0.20340944627354973,0.20340944627354973,HC,0.15316547164536654,-3.802133645976563e-18,-0.16657697249412445,0.04180756691472546,1.0
MeanVoicedSegmentLengthSec,Temporal/Rhythm,0.20255208024827942,0.20255208024827942,PD,0.16209208507395953,-3.612026963677735e-18,0.14786639729243012,0.05095887841960737,1.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,Pitch (F0),-0.17259741101055595,0.17259741101055595,HC,0.14138157575319982,-7.604267291953127e-18,-0.15627387565515663,0.046957190604833936,1.0
mfcc2_sma3_stddevNorm,MFCC (Cepstral),-0.15451308833993307,0.15451308833993307,HC,0.10453490265548997,-2.5664402110341802e-18,-0.09539576370816084,0.023341809872525168,1.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Pitch (F0),-0.14038033028693156,0.14038033028693156,HC,0.10825325319582615,4.324927022298341e-18,-0.09044609667456202,0.047658825026005,1.0
slopeV500-1500_sma3nz_amean,Spectral Balance,0.13825496347602517,0.13825496347602517,PD,0.10267477703093328,2.376333528735352e-18,0.13218812014730746,0.05294670926152078,1.0
F1frequency_sma3nz_stddevNorm,Formants,0.13248474880159633,0.13248474880159633,PD,0.1033618746755422,1.140640093792969e-18,0.08831470091718299,0.07152727116806382,1.0
loudness_sma3_stddevRisingSlope,Loudness/Energy,-0.1210231859532591,0.1210231859532591,HC,0.070530923100166,5.703200468964845e-19,-0.08646260025311782,0.024806672669459143,1.0
alphaRatioV_sma3nz_amean,Spectral Balance,-0.1173534853444393,0.1173534853444393,HC,0.08829346070330794,2.9941802462065438e-18,-0.10281633810038024,0.0318126838352076,1.0
mfcc1_sma3_stddevNorm,MFCC (Cepstral),-0.11632693440510201,0.11632693440510201,HC,0.09567891606125348,5.703200468964845e-19,-0.08264376873660867,0.025288504185122327,1.0
F3frequency_sma3nz_stddevNorm,Formants,0.1144042635396844,0.1144042635396844,PD,0.09309879214594999,0.0,0.08575179466948368,0.037797170117593586,1.0
F2bandwidth_sma3nz_amean,Formants,-0.11087791172005189,0.11087791172005189,HC,0.08839401907114043,-3.8021336459765633e-19,-0.09450929723496537,0.06990260966418453,0.6
jitterLocal_sma3nz_amean,Jitter,-0.1099560016266776,0.1099560016266776,HC,0.08935366371256676,5.3229871043671886e-18,-0.09584104364250506,0.08897017618060017,1.0
spectralFluxV_sma3nz_amean,Spectral Balance,0.10934591400632807,0.10934591400632807,PD,0.08177518720123017,5.204170427930421e-18,0.09464986178932902,0.033668475459010916,1.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,Pitch (F0),-0.10914121689217617,0.10914121689217617,HC,0.07699123556594302,1.3307467760917971e-18,-0.09722521122977258,0.07227824663450098,1.0
logRelF0-H1-H2_sma3nz_amean,Harmonicity/Noise,-0.10668584028072271,0.10668584028072271,HC,0.08432293531140783,-2.0911735052871098e-18,-0.08959836239432521,0.053340141948945916,1.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,Pitch (F0),0.1045430386338959,0.1045430386338959,PD,0.08546141851304959,-7.604267291953127e-19,0.10558132750953897,0.07706212480153132,0.6
mfcc1V_sma3nz_amean,MFCC (Cepstral),0.10317807292267046,0.10317807292267046,PD,0.0863182190010819,6.843840562757814e-18,0.08462408790285336,0.05499173844774911,0.6
mfcc3V_sma3nz_amean,MFCC (Cepstral),0.10281471928745557,0.10281471928745557,PD,0.07805695096045367,-3.8021336459765633e-19,0.07273492776488621,0.05170018313419944,1.0
F2frequency_sma3nz_amean,Formants,0.10115682177930886,0.10115682177930886,PD,0.08499248133674117,8.851842394539188e-19,0.0568066587504361,0.05146555902083224,0.6
logRelF0-H1-A3_sma3nz_stddevNorm,Harmonicity/Noise,-0.10022410836572054,0.10022410836572054,HC,0.07361038816234114,2.9466535756318365e-18,-0.05411899409069182,0.017705055286686536,1.0
F2bandwidth_sma3nz_stddevNorm,Formants,-0.09871099609887829,0.09871099609887829,HC,0.08481417796523029,-1.140640093792969e-18,-0.09914848794966435,0.05068539634920443,1.0
loudness_sma3_meanFallingSlope,Loudness/Energy,0.09772537705686779,0.09772537705686779,PD,0.07333930100819655,-1.948593493562989e-18,0.06280155028437011,0.016276379507258274,1.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,Pitch (F0),-0.08788882305318549,0.08788882305318549,HC,0.07575610451574062,-2.8516002344824225e-19,-0.07464056500274104,0.060485180816919094,1.0
slopeUV500-1500_sma3nz_amean,Spectral Balance,0.08205532615124743,0.08205532615124743,PD,0.06495910418221934,-2.8516002344824225e-19,0.060091820629646395,0.04825584993954198,1.0
MeanUnvoicedSegmentLength,Temporal/Rhythm,0.07830215318490637,0.07830215318490637,PD,0.05795564602436677,-9.505334114941408e-20,0.051279190610692235,0.04433739145825659,1.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,Pitch (F0),0.07502072589660867,0.07502072589660867,PD,0.06013140876019603,3.421920281378907e-18,0.0800383661551916,0.06921637070545231,0.6
mfcc4_sma3_stddevNorm,MFCC (Cepstral),0.07440759631512515,0.07440759631512515,PD,0.03188058459093056,-4.752667057470704e-19,0.06944754993199449,0.04977359827571652,1.0
mfcc2V_sma3nz_amean,MFCC (Cepstral),0.07168523824554157,0.07168523824554157,PD,0.059214262682375625,1.8060134818388676e-18,0.06936797301088041,0.029386997020977742,1.0
spectralFlux_sma3_amean,Spectral Balance,0.071392297214611,0.071392297214611,PD,0.04736081148217812,-9.505334114941408e-19,0.05625649783695711,0.03517724434616031,1.0
F3frequency_sma3nz_amean,Formants,0.07079002020882273,0.07079002020882273,PD,0.05902453124678595,-3.802133645976563e-18,0.04680662882462674,0.03157147241678957,0.6
mfcc2V_sma3nz_stddevNorm,MFCC (Cepstral),0.06884296650508669,0.06884296650508669,PD,0.028479355076770123,-1.7228418083331303e-18,0.055523165678110234,0.0661378971608621,0.6
mfcc1V_sma3nz_stddevNorm,MFCC (Cepstral),0.06792865499596357,0.06792865499596357,PD,0.05442304027608828,-1.8951259891664434e-18,0.003973355347181939,0.03345743099072675,0.2
loudness_sma3_meanRisingSlope,Loudness/Energy,-0.06619050678852095,0.06619050678852095,HC,0.046451094955047526,2.7565468933330084e-18,-0.04168173830902996,0.03154647501292017,1.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,Pitch (F0),-0.06538955652703392,0.06538955652703392,HC,0.05605410580954102,-3.612026963677735e-18,-0.055227944057376036,0.039404127777784466,1.0
slopeUV0-500_sma3nz_amean,Spectral Balance,-0.06428842657022998,0.06428842657022998,HC,0.04116283145203407,4.752667057470704e-19,-0.0350556410137372,0.06803859090939356,0.2
